"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-9659379"	"R-HSA-9659379"	"Sensory processing of sound"	"43/3620"	"76/11009"	1.7127536796893e-05	0.00246792234755231	0.00226509625390489	"ESPN/CAPZB/KCNQ4/OTOF/MYO3B/ESPNL/ATP2B2/BSN/CACNA2D2/CACNA1D/KCNN2/RIPOR2/LHFPL5/CLIC5/ACTB/SLC26A5/TPRN/CACNB2/MYO3A/PCDH15/CDH23/KCNMA1/CTBP2/USH1C/OTOG/MYO7A/RDX/EPS8/CABP1/MYO1C/USH1G/FSCN2/EPB41L3/RAB3A/TMC2/SNAP25/EPB41L1/DNAJC5/MYH9/CASK/SYN1/MSN/MPP1"	43
"R-HSA-383280"	"R-HSA-383280"	"Nuclear Receptor transcription pathway"	"32/3620"	"52/11009"	2.03177234914794e-05	0.00268363264449957	0.00246307840923022	"NR0B2/RXRG/NR5A2/ESRRG/NR4A2/PPARG/RARB/NR1I2/NR3C2/NR2F1/NR3C1/RXRB/NR2E1/ESR1/RXRA/NR1H3/PGR/NR4A1/NCOR2/ESR2/ESRRB/RORA/NR2E3/NCOR1/THRA/NR1D1/RARA/NR2F6/NR1H2/HNF4A/NR0B1/AR"	32
"R-HSA-3000171"	"R-HSA-3000171"	"Non-integrin membrane-ECM interactions"	"35/3620"	"59/11009"	2.61123813894087e-05	0.00300396630467908	0.00275708546111007	"AGRN/COL11A1/LAMC2/LAMB3/NRXN1/ITGA6/FN1/LAMB2/DAG1/DDR1/COL11A2/LAMA2/PDGFA/SDC2/TNC/COL5A1/ITGB1/COL2A1/COL4A1/COL4A2/ACTN1/THBS1/COL1A1/PRKCA/ITGB4/LAMA1/LAMA3/TGFB1/SDC4/LAMA5/PDGFB/DMD/CASK/COL4A6/COL4A5"	35
"R-HSA-983712"	"R-HSA-983712"	"Ion channel transport"	"88/3620"	"186/11009"	2.65334563189319e-05	0.00300396630467908	0.00275708546111007	"SCNN1D/ATP13A2/BEST4/MCOLN3/CLCA4/ATP1A1/ATP1A4/RYR2/FKBP1B/ASIC4/TRPM8/ANO7/ATP2B2/ANO10/SLC9C1/TRPC1/ATP13A4/ATP10D/TRPC3/TRPC7/SLC17A3/OSTM1/SGK1/TTYH3/CAMK2B/CLCN1/C8orf44-SGK3/SGK3/TRPA1/ATP6V0D2/TRPM3/WNK2/FXYD4/ANO5/ANO3/TPCN2/ANO1/TRPC6/WNK1/ANO2/SCNN1A/BEST3/TRPV4/UBC/ATP8A2/TRPC4/ATP7B/NALCN/ATP11A/UNC79/ATP10A/TRPM1/RYR3/CLCN7/SCNN1G/MLKL/ATP2C2/TRPV3/TRPV1/ATP2A3/ATP1B2/TRPV2/ASIC2/WNK4/TTYH2/ATP8B1/NEDD4L/ATP9B/ATP8B3/MCOLN1/ATP13A1/FXYD3/FXYD1/ATP4A/RYR1/TRPM4/TTYH1/SGK2/ATP9A/TRPM2/CLCN4/CLCN5/PDZD11/ATP7A/TSC22D3/TRPC5/ATP11C/ATP6AP1"	88
"R-HSA-418990"	"R-HSA-418990"	"Adherens junctions interactions"	"34/3620"	"57/11009"	2.89102522075389e-05	0.00301964464583906	0.0027714752784656	"AGO4/ZC3H12A/CADM3/NECTIN4/ZEB2/CTNNB1/CADM2/PRDM8/CDH18/CDH12/CDH9/CDH6/CTNNA1/ADAM19/ACTB/AGO2/CADM1/NECTIN1/CDH24/CDH8/CDH11/CDH5/CDH3/CDH1/CDH13/FOXF1/TNRC6C/CDH2/CDH7/ILF3/PVR/CDH4/SOX10/AMOT"	34
"R-HSA-6794361"	"R-HSA-6794361"	"Neurexins and neuroligins"	"33/3620"	"55/11009"	3.19325935631139e-05	0.00301964464583906	0.0027714752784656	"SYT2/NRXN1/LRRTM1/NLGN1/GRM1/DBNL/SHARPIN/GRIN1/LRRTM3/SYT7/NRXN2/SHANK2/DLG2/GRM5/GRIN2B/SYT10/SYT1/NRXN3/BEGAIN/APBA2/GRIN2A/NLGN2/GRIN2C/DLGAP1/EPB41L3/HOMER3/GRIN2D/LIN7B/EPB41L1/DLGAP4/NLGN4X/CASK/DLG3"	33
"R-HSA-5173214"	"R-HSA-5173214"	"O-glycosylation of TSR domain-containing proteins"	"25/3620"	"38/11009"	3.23873558228795e-05	0.00301964464583906	0.0027714752784656	"SEMA5B/SPON2/ADAMTS16/SEMA5A/ADAMTS2/THBS2/THSD7A/SBSPON/ADAMTSL1/ADAMTS13/ADAMTS14/SPON1/ADAMTS8/ADAMTS20/THSD1/THBS1/THSD4/ADAMTS7/ADAMTSL3/ADAMTS17/ADAMTS10/ADAMTS1/ADAMTS5/POFUT2/CFP"	25
"R-HSA-112310"	"R-HSA-112310"	"Neurotransmitter release cycle"	"31/3620"	"51/11009"	3.86394783751286e-05	0.00340242073469882	0.00312279293066829	"SLC5A7/GAD1/SLC6A1/SYN2/CPLX1/SLC1A3/RIMS1/SLC22A2/GAD2/CHAT/SLC18A3/SLC18A2/SLC1A2/PPFIA1/SLC6A12/SLC6A13/SYT1/PPFIA2/ABAT/TSPOAP1/SLC1A6/RAB3A/LIN7B/SLC17A7/SNAP25/SLC32A1/DNAJC5/SYN3/CASK/MAOA/SYN1"	31
"R-HSA-9662360"	"R-HSA-9662360"	"Sensory processing of sound by inner hair cells of the cochlea"	"39/3620"	"69/11009"	4.30986809335598e-05	0.00353986022132	0.00324893695890037	"ESPN/CAPZB/KCNQ4/OTOF/MYO3B/ESPNL/ATP2B2/BSN/CACNA2D2/CACNA1D/RIPOR2/LHFPL5/CLIC5/ACTB/TPRN/CACNB2/MYO3A/PCDH15/CDH23/KCNMA1/CTBP2/USH1C/MYO7A/RDX/EPS8/CABP1/MYO1C/USH1G/FSCN2/EPB41L3/RAB3A/TMC2/SNAP25/EPB41L1/DNAJC5/MYH9/CASK/SYN1/MSN"	39
"R-HSA-500792"	"R-HSA-500792"	"GPCR ligand binding"	"194/3620"	"468/11009"	4.46670059472555e-05	0.00353986022132	0.00324893695890037	"TAS1R3/TAS1R2/CNR2/OPRD1/HCRTR1/EDN2/PTCH2/PTGER3/PTGFR/S1PR1/ADORA1/WNT3A/GNG4/CHRM3/OPN3/NTSR2/UCN/LHCGR/NMS/SCTR/GPR39/CXCR4/FZD7/FZD5/PTH2R/CXCR2/GPBAR1/WNT6/CCL20/GPR55/NMUR1/ACKR3/RAMP1/GPR35/GRM7/HRH1/WNT7A/CCR4/CX3CR1/CCK/CCR2/WNT5A/HTR1F/CASR/RHO/TRH/AGTR1/P2RY14/P2RY1/GHSR/GNB4/EEF1AKMT4-ECE2/SST/UTS2B/ADRA2C/DRD5/CCKAR/NPFFR2/CXCL1/PF4/CXCL5/TACR3/QRFPR/EDNRA/NPY2R/RXFP1/NPY1R/MTNR1A/RXFP3/CCL28/HTR1A/F2RL2/F2R/F2RL1/CRHBP/HTR4/DRD1/GRM6/GABBR1/GRM4/HCRTR2/HTR1B/MCHR2/NMBR/GRM1/OPRM1/CCR6/GPER1/NPY/ADCYAP1R1/RAMP3/FZD9/FZD1/WNT2/GPR37/GRM8/CHRM2/HTR5A/SHH/VIPR2/ADRA1A/PNOC/NPBWR1/PENK/CRH/GABBR2/UCN3/FZD8/CXCL12/TACR2/NPFFR1/RGR/OPN4/HTR7/FFAR4/ADRA2A/ADRB1/PRLHR/DRD4/CCKBR/CALCB/CALCA/CHRM4/APLNR/PTGDR2/CHRM1/P2RY2/P2RY6/GRM5/MTNR1B/CXCR5/LPAR5/TAS2R14/TAS2R50/HEBP1/PTHLH/DHH/AVPR1A/HCAR2/HCAR3/HCAR1/FZD10/EDNRB/LTB4R2/LTB4R/SSTR1/PTGDR/BDKRB2/NMB/CCL22/CX3CL1/MC1R/CCL5/CCL3/CCR7/CCR10/PYY/FZD2/LINC02210-CRHR1/CRHR1/WNT3/WNT9B/UTS2R/ADCYAP1/GRP/GALR1/GNG7/S1PR4/C3/CCL25/PLPPR2/PTGER1/F2RL3/INSL3/FFAR3/FFAR2/GPR4/PTGIR/C5AR2/OXT/AVP/MC3R/GNAS/EDN3/NTSR1/OPRL1/APP/ADORA2A/SSTR3/GALR3/WNT7B/XK/HTR2C/APLN"	194
"R-HSA-1474244"	"R-HSA-1474244"	"Extracellular matrix organization"	"131/3620"	"300/11009"	5.01749086056468e-05	0.00378701095904525	0.00347577562370947	"AGRN/COL24A1/COL11A1/CTSK/ADAM15/BCAN/TNN/TNR/LAMC2/LAMB3/TGFB2/CAPN8/CAPN2/NID1/PXDN/CAPN14/LTBP1/NRXN1/LOXL3/ITGB6/ITGA6/FN1/COL6A3/FBLN2/LAMB2/DAG1/CD47/COL6A5/PLOD2/P3H2/KDR/SPP1/COL25A1/TLL1/ADAMTS16/ITGA1/VCAN/CAST/FBN2/P4HA2/SPARC/MFAP3/ADAM19/COL23A1/ADAMTS2/DDR1/TNXB/COL11A2/DST/COL9A1/COL12A1/LAMA2/PDGFA/CTSB/MMP16/SDC2/COL14A1/COL22A1/PLEC/CTSL/COL15A1/TNC/COL5A1/ITGB1/ADAMTS14/TLL2/SH3PXD2A/HTRA1/ADAM8/CAPN1/LTBP3/CAPN5/MMP7/NCAM1/ADAMTS8/JAM3/VWF/MFAP5/COL2A1/ITGB7/DCN/COL4A1/COL4A2/MMP14/BMP4/ACTN1/THBS1/CAPN3/FBN1/ITGA11/LOXL1/FURIN/CAPN15/ITGAL/MMP2/CDH1/ITGAE/COL1A1/PRKCA/ITGB4/TIMP2/P4HB/EMILIN2/LAMA1/LAMA3/PTPRS/ICAM5/ICAM3/COMP/LTBP4/TGFB1/GDF5/MATN4/SDC4/BMP7/LAMA5/COL9A3/COL20A1/APP/ADAMTS1/ADAMTS5/ITGB2/COL18A1/COL6A1/COL6A2/MMP11/PDGFB/DMD/CASK/COL4A6/COL4A5"	131
"R-HSA-1296072"	"R-HSA-1296072"	"Voltage gated Potassium channels"	"27/3620"	"43/11009"	5.41401542582494e-05	0.0039005520226966	0.00357998531985171	"KCNAB2/KCNQ4/KCNC4/KCNA2/KCNA3/KCNF1/KCNG3/KCNH8/KCNAB1/KCNQ5/KCND2/KCNH2/KCNB2/KCNS2/KCNQ3/KCNQ1/KCNH3/KCNC2/KCNAB3/KCNH4/KCNH6/KCNG2/KCNA7/KCNC3/KCNS1/KCNB1/KCNQ2"	27
"R-HSA-5083635"	"R-HSA-5083635"	"Defective B3GALTL causes PpS"	"24/3620"	"37/11009"	6.57888045938263e-05	0.00453370675135716	0.00416110425394361	"SEMA5B/SPON2/ADAMTS16/SEMA5A/ADAMTS2/THBS2/THSD7A/SBSPON/ADAMTSL1/ADAMTS13/ADAMTS14/SPON1/ADAMTS8/ADAMTS20/THSD1/THBS1/THSD4/ADAMTS7/ADAMTSL3/ADAMTS17/ADAMTS10/ADAMTS1/ADAMTS5/CFP"	24
"R-HSA-2022090"	"R-HSA-2022090"	"Assembly of collagen fibrils and other multimeric structures"	"35/3620"	"61/11009"	6.91023361872189e-05	0.00456363345236425	0.00418857143029546	"COL24A1/COL11A1/LAMC2/LAMB3/PXDN/LOXL3/ITGA6/COL6A3/COL6A5/TLL1/COL11A2/DST/COL9A1/COL12A1/CTSB/COL14A1/PLEC/CTSL/COL15A1/COL5A1/TLL2/MMP7/COL2A1/COL4A1/COL4A2/LOXL1/COL1A1/ITGB4/LAMA3/COL9A3/COL18A1/COL6A1/COL6A2/COL4A6/COL4A5"	35
"R-HSA-425393"	"R-HSA-425393"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"55/3620"	"108/11009"	7.38945933258908e-05	0.00468491721686148	0.00429988749374236	"SLC9A1/SLC3A1/SLC1A4/SLC9A4/SLC9A2/SLC20A1/SLC6A6/SLC6A20/SLC9A9/SLC26A1/SLC4A4/SLC7A11/SLC9A3/SLC12A7/SLC6A19/SLC6A18/SLC1A3/SLC17A1/SLC20A2/SLC34A3/SLC25A22/SLC17A6/SLC1A2/SLC43A1/SLC15A3/SLC6A12/SLC38A1/SLC38A4/SLC4A8/SLC6A15/SLC5A8/SLC8B1/SLC15A4/SLC7A7/SLC7A8/SLC8A3/SLC24A4/SLC25A29/SLC12A6/SLC12A1/SLC12A3/SLC12A4/SLC7A5/SLC43A2/CTNS/SLC25A10/SLC1A6/SLC8A2/SLC17A7/SLC32A1/SLC12A5/SLC25A18/SLC9A7/SLC7A3/SLC9A6"	55
"R-HSA-193648"	"R-HSA-193648"	"NRAGE signals death through JNK"	"34/3620"	"59/11009"	7.75492638501738e-05	0.00472752243086636	0.00433899120003806	"ARHGEF16/PLEKHG5/ARHGEF10L/OBSCN/ARHGEF33/BCL2L11/ARHGEF4/NGEF/KALRN/ARHGEF26/TRIO/RASGRF2/FGD2/TIAM2/RAC1/ARHGEF10/VAV2/NET1/ARHGEF17/ARHGEF12/ARHGEF7/MCF2L/ABR/ARHGEF15/NGFR/VAV1/ARHGEF1/TIAM1/ITSN1/MAGED1/FGD1/ARHGEF9/ARHGEF6/MCF2"	34
