"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5173105"	"R-HSA-5173105"	"O-linked glycosylation"	"55/3251"	"112/11009"	9.39589951178106e-06	0.00135215535701358	0.00121202608056276	"ST3GAL3/ST6GALNAC3/GALNT2/THSD7B/B3GNT7/DAG1/MUC13/B3GNT5/ST6GAL1/MUC20/MUC4/SPON2/GALNTL6/ADAMTS16/SEMA5A/ADAMTS6/ADAMTS2/THBS2/THSD7A/GALNT17/MUC3A/MUC12/ST3GAL1/GCNT1/GALNT12/ADAMTS13/ADAMTSL2/ADAMTS14/MUC6/MUC5AC/GALNT18/SPON1/LARGE2/B3GNT6/ST3GAL4/GALNT8/ADAMTS20/GALNT6/GALNT9/THSD1/THBS1/GCNT3/THSD4/ADAMTS17/CHST4/ST6GALNAC2/B3GNTL1/ADAMTS10/MUC16/B3GNT3/ADAMTS1/ADAMTS5/POFUT2/LARGE1/CFP"	55
"R-HSA-418990"	"R-HSA-418990"	"Adherens junctions interactions"	"32/3251"	"57/11009"	2.42216471992401e-05	0.00275719278718386	0.0024714538531927	"AGO4/ZC3H12A/CADM3/NECTIN4/ZEB2/CTNNB1/NECTIN3/PRDM8/CDH18/CDH12/CDH9/CDH6/ADAM19/ACTB/CDH17/AGO2/CTNND1/CADM1/NECTIN1/ANG/TNRC6A/CDH8/CDH11/CDH5/CDH3/CDH13/FOXF1/CDH15/JUP/TNRC6C/CDH4/TNRC6B"	32
"R-HSA-373752"	"R-HSA-373752"	"Netrin-1 signaling"	"29/3251"	"50/11009"	2.51601269524039e-05	0.00275719278718386	0.0024714538531927	"CDC42/ROBO1/TRPC1/ABLIM2/SLIT2/TRPC3/TRIO/MYO10/RGMB/SLIT3/UNC5A/MAPK14/FYN/RAC1/UNC5D/PTK2/PRKCQ/ABLIM1/DOCK1/PAK1/DSCAML1/AGAP2/NTN4/RGMA/NTN1/DCC/SRC/DSCAM/TRPC5"	29
"R-HSA-397014"	"R-HSA-397014"	"Muscle contraction"	"88/3251"	"205/11009"	2.68876742958984e-05	0.00275719278718386	0.0024714538531927	"HIPK1/ATP1A4/ATP1B1/ATP2B4/KCNK2/KCNK1/ACTN2/RYR2/KCNK3/SLC8A1/DYSF/KCNIP3/NEB/SCN7A/TTN/KCNE4/ITPR1/ATP2B2/TNNC1/MYLK/ITGB5/TRPC1/WWTR1/MME/FGF12/PAK2/MYL5/KCNIP4/CAMK2A/ANXA6/KCNIP1/KCNK5/KCNK16/CALD1/HIPK2/KCNH2/GATA4/SORBS3/KCNK9/ANXA1/TMOD1/VIM/CACNB2/FXYD4/CAMK2G/SORBS1/KCNIP2/TNNT3/KCNQ1/PAK1/SLN/CACNA1C/ABCC9/ITPR2/SCN8A/MYBPC1/ATP2A2/TBX5/PXN/FGF14/SLC8A3/KCNK10/CALM1/RYR3/ACTC1/TMOD3/ANXA2/TPM1/CACNA1H/MYH11/MYH8/KCNJ12/CACNB1/CACNA1G/SCN4A/KCNJ2/MYL12A/MYL12B/TPM4/SCN1B/FXYD3/SLC8A2/CACNG8/TNNT1/KCNE2/KCNE1/KCNJ4/DMD"	88
"R-HSA-2682334"	"R-HSA-2682334"	"EPH-Ephrin signaling"	"46/3251"	"92/11009"	2.76511814749364e-05	0.00275719278718386	0.0024714538531927	"EPHA2/CDC42/VAV3/EFNA1/PSEN2/NCK2/ARPC2/EPHA4/NGEF/KALRN/EPHB1/EPHB3/PAK2/ARHGEF28/RASA1/EFNA5/EPHA7/FYN/ACTB/RAC1/LIMK1/ARPC1B/EPHB4/EPHA1/LYN/SDC2/PTK2/CLTA/VAV2/AP2A2/CFL1/PAK1/GRIN2B/EFNB2/ARHGEF7/MYH11/MMP2/GIT1/CLTC/MYL12A/MYL12B/EFNA2/MYH14/SRC/ITSN1/MYH9"	46
"R-HSA-525793"	"R-HSA-525793"	"Myogenesis"	"20/3251"	"30/11009"	2.78680256443093e-05	0.00275719278718386	0.0024714538531927	"CDC42/MEF2D/CTNNA2/CTNNB1/BOC/MEF2C/MAPK14/ABL1/MYOD1/CDON/MYF6/MYF5/TCF12/MEF2A/CDH15/MAP2K6/TCF3/MEF2B/BORCS8-MEF2B/CDH4"	20
"R-HSA-425393"	"R-HSA-425393"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"52/3251"	"108/11009"	3.25211324901002e-05	0.00302829133716639	0.00271445737440589	"SLC9A1/SLC8A1/SLC3A1/SLC9A4/SLC9A2/SLC20A1/SLC4A10/SLC6A6/SLC4A7/SLC25A26/SLC15A2/SLC9A9/SLC26A1/SLC4A4/SLC7A11/SLC9A3/SLC12A7/SLC6A19/SLC6A18/SLC1A3/SLC17A1/SLC7A2/SLC34A3/SLC17A6/SLC1A2/SLC15A3/SLC6A12/SLC38A1/SLC38A4/SLC4A8/SLC6A15/SLC17A8/SLC5A8/SLC8B1/SLC15A4/SLC7A1/SLC7A7/SLC7A8/SLC8A3/CALM1/SLC24A4/SLC12A6/SLC12A3/SLC12A4/SLC7A6/SLC7A5/SLC43A2/SLC8A2/SLC24A3/SLC32A1/SLC12A5/SLC9A7"	52
"R-HSA-198933"	"R-HSA-198933"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"61/3251"	"133/11009"	4.53191368964331e-05	0.00398556631705854	0.00357252611323929	"CD160/CD1D/CD1C/SLAMF6/CD247/CD34/CD8A/ITGA4/COL3A1/CD96/CD200R1/HLA-F/HLA-E/HLA-C/HLA-B/MICB/TREM1/PILRA/ITGB1/IFITM1/CD81/JAML/CD3G/CRTAM/KLRG1/CLEC2D/KLRC4-KLRK1/ITGB7/ITGAL/CD300LG/ICAM2/CD300A/CD300C/CD300LD/CD300E/CD300LF/CD226/C3/ICAM4/ICAM3/CD22/SIGLEC11/SIGLEC9/CD33/SIGLEC10/SIGLEC12/SIGLEC5/OSCAR/LILRB2/LILRA4/LAIR1/LAIR2/LILRA2/LILRA1/LILRB1/LILRB4/KIR2DL4/SIGLEC1/CD40/ITGB2/CD40LG"	61
"R-HSA-9013420"	"R-HSA-9013420"	"RHOU GTPase cycle"	"24/3251"	"40/11009"	5.88285948967192e-05	0.00490135082744771	0.00439340420613725	"EPHA2/CDC42/VANGL1/ARHGAP30/SRGAP2/ITSN2/SPTBN1/NCK2/ARHGAP31/PAK2/PIK3R1/DST/MYO6/PTK2B/DLG5/PAK1/ARHGEF7/PEAK1/WWP2/GIT1/CLTC/GRB2/PIK3R2/SRC"	24
"R-HSA-373755"	"R-HSA-373755"	"Semaphorin interactions"	"34/3251"	"65/11009"	9.57867843776093e-05	0.00742998395225763	0.00665998495038953	"RHOC/SEMA4A/PTPRC/PLXNA2/DPYSL5/FARP2/PLXND1/PAK2/SEMA5A/SEMA6A/DPYSL3/FYN/RAC1/LIMK1/MET/PLXNA4/CD72/SEMA4D/ITGB1/NRP1/CFL1/PAK1/ARHGEF12/PLXNC1/HSP90AA1/SEMA6D/SEMA7A/MYH11/ERBB2/MYL12A/MYL12B/PIP5K1C/MYH14/MYH9"	34
"R-HSA-421270"	"R-HSA-421270"	"Cell-cell junction organization"	"43/3251"	"88/11009"	9.93259122224617e-05	0.00742998395225763	0.00665998495038953	"AGO4/ZC3H12A/CADM3/NECTIN4/ZEB2/CTNNB1/NECTIN3/PRDM8/CDH18/CDH12/CDH9/CDH6/ADAM19/SDK1/ACTB/CLDN4/CLDN15/CDH17/AGO2/PARD3/CTNND1/CADM1/NECTIN1/CLDN10/ANG/TNRC6A/CDH8/CDH11/CDH5/CDH3/CDH13/FOXF1/CDH15/JUP/SDK2/TNRC6C/PARD6G/CRB3/CDH4/CLDN17/CLDN8/CLDN14/TNRC6B"	43
"R-HSA-76002"	"R-HSA-76002"	"Platelet activation, signaling and aggregation"	"106/3251"	"263/11009"	0.000103259410580965	0.00742998395225763	0.00665998495038953	"GNB1/PRKCZ/PDPN/CDC42/MPL/PIK3R3/GNG12/VAV3/FCER1G/QSOX1/TGFB2/GNG4/ACTN2/PRKCE/PLEK/RAPGEF4/TTN/DGKD/ITPR1/MGLL/PIK3CB/P2RY12/P2RY1/GNB4/THPO/GP5/ADRA2C/PPBP/MMRN1/EGF/TRPC3/PIK3R1/F2RL2/F2R/LHFPL2/SPARC/LCP2/MPIG6B/MAPK14/CD109/FYN/PHACTR2/PDGFA/GNA12/RAC1/DAGLB/DGKB/GNAI1/CD36/SERPINE1/PIK3CG/RARRES2/CLU/LYN/CYRIB/PTK2/GNA14/GNAQ/SYK/VAV2/PRKCQ/APBB1IP/SRGN/DGKZ/DAGLA/FERMT3/VEGFB/RASGRP2/CFL1/ENDOD1/APOA1/APLP2/VWF/CD9/PTPN6/ITPR2/DGKA/GNG2/PRKCH/VTI1B/ACTN1/CALM1/SERPINA1/THBS1/CSK/PRKCB/MAPK3/BCAR1/PLCG2/GP1BA/PIK3R6/PIK3R5/PECAM1/APOH/PRKCA/GRB2/LGALS3BP/CFD/GNG7/GNA11/GNA15/F2RL3/PIK3R2/SRC/APP/TIMP3"	106
"R-HSA-186797"	"R-HSA-186797"	"Signaling by PDGF"	"31/3251"	"58/11009"	0.000114141126200264	0.00785588707717467	0.00704175002828172	"NCK2/COL3A1/COL5A2/STAT1/COL4A3/COL6A3/PIK3CB/PDGFC/PIK3R1/THBS4/RASA1/PDGFRB/COL9A1/THBS2/PDGFA/PLAT/RAPGEF1/COL5A1/PDGFD/COL4A1/COL4A2/THBS1/FURIN/BCAR1/GRB7/STAT3/GRB2/PIK3R2/SRC/COL9A3/CRKL"	31
"R-HSA-2029482"	"R-HSA-2029482"	"Regulation of actin dynamics for phagocytic cup formation"	"32/3251"	"61/11009"	0.000142041870974962	0.00912914904001028	0.00818305875315614	"CDC42/WASF2/VAV3/CD247/WIPF1/ARPC2/MYO10/CYFIP2/ACTB/RAC1/WIPF3/ELMO1/LIMK1/ARPC1B/PTK2/SYK/ABL1/VAV2/DOCK1/CFL1/PAK1/CD3G/NCKAP1L/HSP90AA1/CYFIP1/MYO5A/MAPK3/GRB2/BAIAP2/MYO9B/MYH9/WAS"	32
"R-HSA-388841"	"R-HSA-388841"	"Costimulation by the CD28 family"	"35/3251"	"69/11009"	0.000169806093484413	0.00912914904001028	0.00818305875315614	"CDC42/PIK3R3/CD247/AKT3/CD28/ICOS/BTLA/CD80/CD86/PAK2/PIK3R1/HLA-DRA/HLA-DRB1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DPA1/HLA-DPB1/FYN/RAC1/LYN/PDCD1LG2/MAP3K8/PAK1/CD3G/CD4/PTPN6/PPP2R5C/CSK/GRB2/PIK3R2/AKT2/SRC/GRAP2/PRR5"	35
"R-HSA-3906995"	"R-HSA-3906995"	"Diseases associated with O-glycosylation of proteins"	"35/3251"	"69/11009"	0.000169806093484413	0.00912914904001028	0.00818305875315614	"THSD7B/DAG1/MUC13/MUC20/MUC4/SPON2/ADAMTS16/SEMA5A/ADAMTS6/ADAMTS2/THBS2/LFNG/THSD7A/MUC3A/MUC12/GALNT12/ADAMTS13/ADAMTSL2/NOTCH1/ADAMTS14/MUC6/MUC5AC/SPON1/ADAMTS20/THSD1/THBS1/THSD4/ADAMTS17/ADAMTS10/MUC16/NOTCH3/ADAMTS1/ADAMTS5/LARGE1/CFP"	35
"R-HSA-114604"	"R-HSA-114604"	"GPVI-mediated activation cascade"	"21/3251"	"35/11009"	0.00017051904155684	0.00912914904001028	0.00818305875315614	"PRKCZ/PDPN/CDC42/PIK3R3/VAV3/FCER1G/PIK3CB/PIK3R1/LCP2/MPIG6B/FYN/RAC1/PIK3CG/LYN/SYK/VAV2/PTPN6/PLCG2/PIK3R6/PIK3R5/PIK3R2"	21
"R-HSA-9664407"	"R-HSA-9664407"	"Parasite infection"	"31/3251"	"59/11009"	0.000173009773341951	0.00912914904001028	0.00818305875315614	"CDC42/WASF2/VAV3/CD247/WIPF1/ARPC2/MYO10/CYFIP2/FYN/ACTB/RAC1/WIPF3/ELMO1/ARPC1B/LYN/PTK2/SYK/ABL1/VAV2/DOCK1/CD3G/NCKAP1L/CYFIP1/MYO5A/MAPK3/GRB2/BAIAP2/MYO9B/SRC/MYH9/WAS"	31
"R-HSA-9664417"	"R-HSA-9664417"	"Leishmania phagocytosis"	"31/3251"	"59/11009"	0.000173009773341951	0.00912914904001028	0.00818305875315614	"CDC42/WASF2/VAV3/CD247/WIPF1/ARPC2/MYO10/CYFIP2/FYN/ACTB/RAC1/WIPF3/ELMO1/ARPC1B/LYN/PTK2/SYK/ABL1/VAV2/DOCK1/CD3G/NCKAP1L/CYFIP1/MYO5A/MAPK3/GRB2/BAIAP2/MYO9B/SRC/MYH9/WAS"	31
"R-HSA-9664422"	"R-HSA-9664422"	"FCGR3A-mediated phagocytosis"	"31/3251"	"59/11009"	0.000173009773341951	0.00912914904001028	0.00818305875315614	"CDC42/WASF2/VAV3/CD247/WIPF1/ARPC2/MYO10/CYFIP2/FYN/ACTB/RAC1/WIPF3/ELMO1/ARPC1B/LYN/PTK2/SYK/ABL1/VAV2/DOCK1/CD3G/NCKAP1L/CYFIP1/MYO5A/MAPK3/GRB2/BAIAP2/MYO9B/SRC/MYH9/WAS"	31
"R-HSA-202427"	"R-HSA-202427"	"Phosphorylation of CD3 and TCR zeta chains"	"15/3251"	"22/11009"	0.000199350884848465	0.00983671196968146	0.00881729410189221	"PTPN22/CD247/PTPRC/HLA-DRA/HLA-DRB1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DPA1/HLA-DPB1/PAG1/PTPRJ/CD3G/CD4/CSK"	15
"R-HSA-418885"	"R-HSA-418885"	"DCC mediated attractive signaling"	"11/3251"	"14/11009"	0.000208921848939097	0.00983671196968146	0.00881729410189221	"CDC42/ABLIM2/TRIO/FYN/RAC1/PTK2/ABLIM1/DOCK1/NTN1/DCC/SRC"	11
"R-HSA-9658195"	"R-HSA-9658195"	"Leishmania infection"	"70/3251"	"164/11009"	0.000211274925438515	0.00983671196968146	0.00881729410189221	"GNB1/CDC42/WASF2/JUN/GNG12/VAV3/CD247/IL10/GNG4/NLRP3/IL1B/WIPF1/FZD7/ARPC2/ITPR1/WNT5A/ADCY5/GNB4/NFKB1/ADCY2/MYO10/CYFIP2/MAPK14/FYN/PRKAR1B/ACTB/RAC1/IL6/WIPF3/ELMO1/GNAI1/ARPC1B/LYN/ADCY8/PTK2/GSDMD/SYK/ABL1/VAV2/ENTPD1/DOCK1/CD3G/CD163/ITPR2/NCKAP1L/P2RX4/GNG2/ENTPD5/CALM1/CYFIP1/MYO5A/PSTPIP1/FURIN/MEFV/ADCY9/MAPK3/ADCY7/DPEP2/PLCG2/GRB2/BAIAP2/GNG7/C3/MYO9B/SRC/GNAS/APP/GGT1/MYH9/WAS"	70
